Mem: 1862656K used, 135360K free, 71424K shrd, 9088K buff, 243968K cached
CPU:  55% usr  20% sys   0% nic  15% idle   0% io   5% irq   5% sirq
Load average: 7.04 3.72 1.49 12/854 11125
  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND
  379     2 root     SW       0   0%   0% [jbd2/mmcblk0p11]
  419     2 root     SW       0   0%   0% [jbd2/mmcblk0p21]
  433   254 root     Z        0   0%   0% [sh]
    2     0 root     SW       0   0%   0% [kthreadd]
    3     2 root     IW<      0   0%   0% [rcu_gp]
    4     2 root     IW<      0   0%   0% [rcu_par_gp]
    5     2 root     IW       0   0%   0% [kworker/0:0-pm]
    6     2 root     IW<      0   0%   0% [kworker/0:0H-kb]
    8     2 root     IW<      0   0%   0% [mm_percpu_wq]
   11     2 root     SW       0   0%   0% [migration/0]
   12     2 root     SW       0   0%   0% [cpuhp/0]
   13     2 root     SW       0   0%   0% [cpuhp/1]
   14     2 root     SW       0   0%   0% [migration/1]
   16     2 root     IW       0   0%   0% [kworker/1:0-pm]
   17     2 root     IW<      0   0%   0% [kworker/1:0H-kb]
   18     2 root     SW       0   0%   0% [kdevtmpfs]
   19     2 root     IW<      0   0%   0% [netns]
   20     2 root     SW       0   0%   0% [rcu_tasks_kthre]
   22     2 root     SW       0   0%   0% [oom_reaper]
   23     2 root     IW<      0   0%   0% [writeback]
   24     2 root     SW       0   0%   0% [kcompactd0]
   26     2 root     SWN      0   0%   0% [ksmd]
   27     2 root     SWN      0   0%   0% [khugepaged]
   36     2 root     IW<      0   0%   0% [cryptd]
   58     2 root     IW<      0   0%   0% [kintegrityd]
   59     2 root     IW<      0   0%   0% [kblockd]
   60     2 root     IW<      0   0%   0% [blkcg_punt_bio]
   61     2 root     IW<      0   0%   0% [tpm_dev_wq]
   62     2 root     IW<      0   0%   0% [edac-poller]
   63     2 root     IW<      0   0%   0% [devfreq_wq]
   64     2 root     SW       0   0%   0% [watchdogd]
   66     2 root     IW<      0   0%   0% [rpciod]
   67     2 root     IW<      0   0%   0% [kworker/u5:0]
   68     2 root     IW<      0   0%   0% [xprtiod]
   99     2 root     IW<      0   0%   0% [nfsiod]
  101     2 root     IW<      0   0%   0% [kpcitest]
  102     2 root     IW<      0   0%   0% [kpcintb]
  103     2 root     IW<      0   0%   0% [vfio-irqfd-clea]
  105     2 root     IW       0   0%   0% [kworker/1:3-pm]
  106     2 root     SW       0   0%   0% [irq/9-arm-smmu-]
  107     2 root     SW       0   0%   0% [scsi_eh_0]
  108     2 root     IW<      0   0%   0% [scsi_tmf_0]
  109     2 root     SW       0   0%   0% [ptp0]
  110     2 root     SW       0   0%   0% [irq/191-310d000]
  111     2 root     IW<      0   0%   0% [sdhci]
  112     2 root     SW       0   0%   0% [irq/15-mmc0]
  114     2 root     IW<      0   0%   0% [sdhci]
  115     2 root     SW       0   0%   0% [irq/16-mmc1]
  116     2 root     IW<      0   0%   0% [mmc_complete]
  122     2 root     SW       0   0%   0% [jbd2/mmcblk0p5-]
  123     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  259     2 root     IW       0   0%   0% [kworker/0:5]
  261     2 root     IW<      0   0%   0% [pvr_timer]
  263     2 root     SW       0   0%   0% [pvr_device_wdg]
  264     2 root     SW<      0   0%   0% [pvr_cacheop]
  265     2 root     IW<      0   0%   0% [pvr_fce_status]
  272     2 root     SW       0   0%   0% [irq/575-6000000]
  349     2 root     IW<      0   0%   0% [ipv6_addrconf]
  350     2 root     SW       0   0%   0% [jbd2/mmcblk0p7-]
  351     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  366     2 root     SW       0   0%   0% [jbd2/mmcblk0p8-]
  367     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  369     2 root     SW       0   0%   0% [jbd2/mmcblk0p9-]
  370     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  376     2 root     SW       0   0%   0% [jbd2/mmcblk0p10]
  377     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  380     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  382     2 root     SW       0   0%   0% [jbd2/mmcblk0p12]
  383     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  385     2 root     SW       0   0%   0% [jbd2/mmcblk0p13]
  386     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  394     2 root     SW       0   0%   0% [jbd2/mmcblk0p14]
  395     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  397     2 root     SW       0   0%   0% [jbd2/mmcblk0p15]
  398     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  400     2 root     SW       0   0%   0% [jbd2/mmcblk0p16]
  401     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  403     2 root     SW       0   0%   0% [jbd2/mmcblk0p17]
  404     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  406     2 root     SW       0   0%   0% [jbd2/mmcblk0p18]
  407     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  409     2 root     SW       0   0%   0% [jbd2/mmcblk0p19]
  410     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  416     2 root     SW       0   0%   0% [jbd2/mmcblk0p20]
  417     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  420     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  422     2 root     SW       0   0%   0% [jbd2/mmcblk0p22]
  423     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  425     2 root     SW       0   0%   0% [jbd2/mmcblk0p23]
  426     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  428     2 root     SW       0   0%   0% [jbd2/mmcblk0p26]
  429     2 root     IW<      0   0%   0% [ext4-rsv-conver]
 2792     2 root     IW<      0   0%   0% [kworker/0:2H]
 2942     2 root     IW<      0   0%   0% [pvr_misr]
 2943     2 root     IW<      0   0%   0% [pvr_misr]
Mem: 1839872K used, 158144K free, 71424K shrd, 9088K buff, 220928K cached
CPU:  45% usr  32% sys   0% nic  12% idle   0% io   6% irq   2% sirq
Load average: 7.20 3.81 1.54 9/854 11282
  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND
 2790     1 root     S    2070m 105%  10% ./mv_avm
 3698     1 root     S    1385m  70%  10% ./mv_fusion
 3934     1 root     S    1783m  91%  10% ./mv_perc --cfg /opt/data/motovis_app_A/motovis/conf/app_slot.cfg
  431   254 root     S    4987m 253%   9% /lib/firmware/TDA4_A72_demo_gac_a09.out
 3200     1 root     S    1617m  82%   7% ./mv_decision
  544   529 root     S    1240m  63%   5% TDA4_A72_met_vehinfo.out
 4541     1 root     R     868m  44%   4% ./TDA4_A72_gac_raeb_09.out
  546   529 root     R    32.0t1703948%   4% met_hmi_service
 4534     1 root     S    1235m  63%   4% ./mv_calib
  543   529 root     S    20160   1%   3% perception
 3447     1 root     S    1445m  73%   2% ./mv_plan
  542   529 root     S     370m  19%   2% Fusion
  439     1 root     S    1185m  60%   2% ./fas_someipd
 4856     1 root     S     771m  39%   2% ./A09_RaLog
  258     2 root     IW       0   0%   2% [kworker/0:4-eve]
  547   529 root     S    1350m  69%   0% TDA4_A72_met_adas.out
  545   529 root     S     227m  12%   0% met_draw_client_v2.out
  541   529 root     S    18112   1%   0% VSE
11105  2630 root     R     3456   0%   0% top -b -d 1
    9     2 root     SW       0   0%   0% [ksoftirqd/0]
   98     2 root     SW       0   0%   0% [kswapd0]
 2015     1 root     S     176m   9%   0% ./iox-roudi -c ../conf/roudi_config.toml -m off -l debug
 6423     1 root     S    79168   4%   0% /bin/ntpd
  533   529 root     S    73728   4%   0% RM 0
  537   529 root     S    44800   2%   0% calibration
  529     1 root     S    27328   1%   0% ./met_ipc_master.out
  538   529 root     S    20480   1%   0% LSR
  540   529 root     S    19584   1%   0% ST
  532   529 root     S    19328   1%   0% met_adas_init.out
  539   529 root     S    18624   1%   0% COR
  534   529 root     S    18560   1%   0% GO
  535   529 root     S    18304   1%   0% TLR
  536   529 root     S    18304   1%   0% TSR
10096 10076 root     S     5504   0%   0% /usr/libexec/sftp-server
  253   251 root     S     5056   0%   0% /bin/login -f
  254   253 root     S     3456   0%   0% -sh
 8036  2630 root     T     3456   0%   0% top -b -d 1
  337     1 root     S     3456   0%   0% /usr/sbin/telnetd -l /bin/sh
 2630   337 root     S     3456   0%   0% /bin/sh
10076 10055 root     S     3328   0%   0% /usr/sbin/dropbear -B
  243     1 root     S     3328   0%   0% /sbin/syslogd -n -O /var/log/messages
  246     1 root     S     3328   0%   0% /sbin/klogd -n
  251     1 root     S     3328   0%   0% {autologin.sh} /bin/sh /sbin/autologin.sh --
  252     1 root     S     3328   0%   0% /sbin/getty 38400 tty1
10055     1 root     S     3200   0%   0% /usr/sbin/dropbear -B
    1     0 root     S     2368   0%   0% init [5]
   21     2 root     IW       0   0%   0% [kworker/1:1-pm]
   65     2 root     IW       0   0%   0% [kworker/u4:1-ev]
   10     2 root     IW       0   0%   0% [rcu_preempt]
   25     2 root     IW       0   0%   0% [kworker/0:1-eve]
  113     2 root     IW       0   0%   0% [kworker/1:4-eve]
 7953     2 root     IW       0   0%   0% [kworker/u4:4-pv]
  104     2 root     IW       0   0%   0% [kworker/1:2-pm]
    7     2 root     IW       0   0%   0% [kworker/u4:0-ev]
10623     2 root     IW       0   0%   0% [kworker/u4:5-ev]
  119     2 root     IW       0   0%   0% [kworker/0:2-pm]
 4888     2 root     IW       0   0%   0% [kworker/u4:3-ev]
  262     2 root     SWN      0   0%   0% [pvr_defer_free]
  118     2 root     IW       0   0%   0% [kworker/u4:2-pv]
   15     2 root     SW       0   0%   0% [ksoftirqd/1]
  121     2 root     IW<      0   0%   0% [kworker/0:1H-kb]
  981     2 root     IW<      0   0%   0% [kworker/1:2H-kb]
  120     2 root     IW       0   0%   0% [kworker/0:3-pm]
  117     2 root     IW<      0   0%   0% [kworker/1:1H-kb]
  379     2 root     SW       0   0%   0% [jbd2/mmcblk0p11]
  419     2 root     SW       0   0%   0% [jbd2/mmcblk0p21]
  433   254 root     Z        0   0%   0% [sh]
    2     0 root     SW       0   0%   0% [kthreadd]
    3     2 root     IW<      0   0%   0% [rcu_gp]
    4     2 root     IW<      0   0%   0% [rcu_par_gp]
    5     2 root     IW       0   0%   0% [kworker/0:0-pm]
    6     2 root     IW<      0   0%   0% [kworker/0:0H-kb]
    8     2 root     IW<      0   0%   0% [mm_percpu_wq]
   11     2 root     SW       0   0%   0% [migration/0]
   12     2 root     SW       0   0%   0% [cpuhp/0]
   13     2 root     SW       0   0%   0% [cpuhp/1]
   14     2 root     SW       0   0%   0% [migration/1]
   16     2 root     IW       0   0%   0% [kworker/1:0-pm]
   17     2 root     IW<      0   0%   0% [kworker/1:0H-kb]
   18     2 root     SW       0   0%   0% [kdevtmpfs]
   19     2 root     IW<      0   0%   0% [netns]
   20     2 root     SW       0   0%   0% [rcu_tasks_kthre]
   22     2 root     SW       0   0%   0% [oom_reaper]
   23     2 root     IW<      0   0%   0% [writeback]
   24     2 root     SW       0   0%   0% [kcompactd0]
   26     2 root     SWN      0   0%   0% [ksmd]
   27     2 root     SWN      0   0%   0% [khugepaged]
   36     2 root     IW<      0   0%   0% [cryptd]
   58     2 root     IW<      0   0%   0% [kintegrityd]
   59     2 root     IW<      0   0%   0% [kblockd]
   60     2 root     IW<      0   0%   0% [blkcg_punt_bio]
   61     2 root     IW<      0   0%   0% [tpm_dev_wq]
   62     2 root     IW<      0   0%   0% [edac-poller]
   63     2 root     IW<      0   0%   0% [devfreq_wq]
   64     2 root     SW       0   0%   0% [watchdogd]
   66     2 root     IW<      0   0%   0% [rpciod]
   67     2 root     IW<      0   0%   0% [kworker/u5:0]
   68     2 root     IW<      0   0%   0% [xprtiod]
   99     2 root     IW<      0   0%   0% [nfsiod]
  101     2 root     IW<      0   0%   0% [kpcitest]
  102     2 root     IW<      0   0%   0% [kpcintb]
  103     2 root     IW<      0   0%   0% [vfio-irqfd-clea]
  105     2 root     IW       0   0%   0% [kworker/1:3-pm]
  106     2 root     SW       0   0%   0% [irq/9-arm-smmu-]
  107     2 root     SW       0   0%   0% [scsi_eh_0]
  108     2 root     IW<      0   0%   0% [scsi_tmf_0]
  109     2 root     SW       0   0%   0% [ptp0]
  110     2 root     SW       0   0%   0% [irq/191-310d000]
  111     2 root     IW<      0   0%   0% [sdhci]
  112     2 root     SW       0   0%   0% [irq/15-mmc0]
  114     2 root     IW<      0   0%   0% [sdhci]
  115     2 root     SW       0   0%   0% [irq/16-mmc1]
  116     2 root     IW<      0   0%   0% [mmc_complete]
  122     2 root     SW       0   0%   0% [jbd2/mmcblk0p5-]
  123     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  259     2 root     IW       0   0%   0% [kworker/0:5]
  261     2 root     IW<      0   0%   0% [pvr_timer]
  263     2 root     SW       0   0%   0% [pvr_device_wdg]
  264     2 root     SW<      0   0%   0% [pvr_cacheop]
  265     2 root     IW<      0   0%   0% [pvr_fce_status]
  272     2 root     SW       0   0%   0% [irq/575-6000000]
  349     2 root     IW<      0   0%   0% [ipv6_addrconf]
  350     2 root     SW       0   0%   0% [jbd2/mmcblk0p7-]
  351     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  366     2 root     SW       0   0%   0% [jbd2/mmcblk0p8-]
  367     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  369     2 root     SW       0   0%   0% [jbd2/mmcblk0p9-]
  370     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  376     2 root     SW       0   0%   0% [jbd2/mmcblk0p10]
  377     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  380     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  382     2 root     SW       0   0%   0% [jbd2/mmcblk0p12]
  383     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  385     2 root     SW       0   0%   0% [jbd2/mmcblk0p13]
  386     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  394     2 root     SW       0   0%   0% [jbd2/mmcblk0p14]
  395     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  397     2 root     SW       0   0%   0% [jbd2/mmcblk0p15]
  398     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  400     2 root     SW       0   0%   0% [jbd2/mmcblk0p16]
  401     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  403     2 root     SW       0   0%   0% [jbd2/mmcblk0p17]
  404     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  406     2 root     SW       0   0%   0% [jbd2/mmcblk0p18]
  407     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  409     2 root     SW       0   0%   0% [jbd2/mmcblk0p19]
  410     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  416     2 root     SW       0   0%   0% [jbd2/mmcblk0p20]
  417     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  420     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  422     2 root     SW       0   0%   0% [jbd2/mmcblk0p22]
  423     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  425     2 root     SW       0   0%   0% [jbd2/mmcblk0p23]
  426     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  428     2 root     SW       0   0%   0% [jbd2/mmcblk0p26]
  429     2 root     IW<      0   0%   0% [ext4-rsv-conver]
 2792     2 root     IW<      0   0%   0% [kworker/0:2H]
 2942     2 root     IW<      0   0%   0% [pvr_misr]
 2943     2 root     IW<      0   0%   0% [pvr_misr]
Mem: 1840640K used, 157376K free, 71424K shrd, 9152K buff, 221376K cached
CPU:  49% usr  29% sys   0% nic  11% idle   0% io   6% irq   2% sirq
Load average: 7.20 3.81 1.54 14/855 11441
  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND
 2790     1 root     S    2070m 105%  11% ./mv_avm
  431   254 root     S    4987m 253%  10% /lib/firmware/TDA4_A72_demo_gac_a09.out
 3698     1 root     S    1385m  70%  10% ./mv_fusion
 3934     1 root     S    1783m  91%   9% ./mv_perc --cfg /opt/data/motovis_app_A/motovis/conf/app_slot.cfg
 3200     1 root     R    1617m  82%   6% ./mv_decision
  544   529 root     R    1240m  63%   4% TDA4_A72_met_vehinfo.out
 4534     1 root     S    1235m  63%   4% ./mv_calib
  546   529 root     R    32.0t1703948%   3% met_hmi_service
 4541     1 root     S     868m  44%   3% ./TDA4_A72_gac_raeb_09.out
 3447     1 root     S    1445m  73%   3% ./mv_plan
  543   529 root     S    20160   1%   3% perception
  439     1 root     R    1185m  60%   2% ./fas_someipd
 4856     1 root     S     771m  39%   2% ./A09_RaLog
  542   529 root     S     370m  19%   2% Fusion
  258     2 root     RW       0   0%   2% [kworker/0:4+eve]
  547   529 root     S    1350m  69%   0% TDA4_A72_met_adas.out
  545   529 root     S     227m  12%   0% met_draw_client_v2.out
 2015     1 root     S     176m   9%   0% ./iox-roudi -c ../conf/roudi_config.toml -m off -l debug
  541   529 root     S    18112   1%   0% VSE
11105  2630 root     R     3456   0%   0% top -b -d 1
    9     2 root     SW       0   0%   0% [ksoftirqd/0]
   65     2 root     IW       0   0%   0% [kworker/u4:1-ev]
 6423     1 root     S    79168   4%   0% /bin/ntpd
  533   529 root     S    73728   4%   0% RM 0
  537   529 root     S    44800   2%   0% calibration
  529     1 root     S    27328   1%   0% ./met_ipc_master.out
  538   529 root     S    20480   1%   0% LSR
  540   529 root     S    19584   1%   0% ST
  532   529 root     S    19328   1%   0% met_adas_init.out
  539   529 root     S    18624   1%   0% COR
  534   529 root     S    18560   1%   0% GO
  535   529 root     S    18304   1%   0% TLR
  536   529 root     S    18304   1%   0% TSR
10096 10076 root     S     5504   0%   0% /usr/libexec/sftp-server
  253   251 root     S     5056   0%   0% /bin/login -f
  254   253 root     S     3456   0%   0% -sh
 8036  2630 root     T     3456   0%   0% top -b -d 1
  337     1 root     S     3456   0%   0% /usr/sbin/telnetd -l /bin/sh
 2630   337 root     S     3456   0%   0% /bin/sh
10076 10055 root     S     3328   0%   0% /usr/sbin/dropbear -B
  243     1 root     S     3328   0%   0% /sbin/syslogd -n -O /var/log/messages
  246     1 root     S     3328   0%   0% /sbin/klogd -n
  251     1 root     S     3328   0%   0% {autologin.sh} /bin/sh /sbin/autologin.sh --
  252     1 root     S     3328   0%   0% /sbin/getty 38400 tty1
10055     1 root     S     3200   0%   0% /usr/sbin/dropbear -B
    1     0 root     S     2368   0%   0% init [5]
   21     2 root     IW       0   0%   0% [kworker/1:1-pm]
   10     2 root     IW       0   0%   0% [rcu_preempt]
   25     2 root     IW       0   0%   0% [kworker/0:1-eve]
  113     2 root     IW       0   0%   0% [kworker/1:4-eve]
 7953     2 root     IW       0   0%   0% [kworker/u4:4-ev]
  104     2 root     IW       0   0%   0% [kworker/1:2-pm]
    7     2 root     IW       0   0%   0% [kworker/u4:0-ev]
10623     2 root     IW       0   0%   0% [kworker/u4:5-ev]
  119     2 root     IW       0   0%   0% [kworker/0:2-pm]
 4888     2 root     IW       0   0%   0% [kworker/u4:3-ev]
   98     2 root     SW       0   0%   0% [kswapd0]
  262     2 root     SWN      0   0%   0% [pvr_defer_free]
  118     2 root     IW       0   0%   0% [kworker/u4:2-pv]
   15     2 root     SW       0   0%   0% [ksoftirqd/1]
  121     2 root     IW<      0   0%   0% [kworker/0:1H-kb]
  981     2 root     IW<      0   0%   0% [kworker/1:2H-kb]
  120     2 root     IW       0   0%   0% [kworker/0:3-pm]
  117     2 root     IW<      0   0%   0% [kworker/1:1H-kb]
  379     2 root     SW       0   0%   0% [jbd2/mmcblk0p11]
  419     2 root     SW       0   0%   0% [jbd2/mmcblk0p21]
  433   254 root     Z        0   0%   0% [sh]
    2     0 root     SW       0   0%   0% [kthreadd]
    3     2 root     IW<      0   0%   0% [rcu_gp]
    4     2 root     IW<      0   0%   0% [rcu_par_gp]
    5     2 root     IW       0   0%   0% [kworker/0:0-pm]
    6     2 root     IW<      0   0%   0% [kworker/0:0H-kb]
    8     2 root     IW<      0   0%   0% [mm_percpu_wq]
   11     2 root     SW       0   0%   0% [migration/0]
   12     2 root     SW       0   0%   0% [cpuhp/0]
   13     2 root     SW       0   0%   0% [cpuhp/1]
   14     2 root     SW       0   0%   0% [migration/1]
   16     2 root     IW       0   0%   0% [kworker/1:0-pm]
   17     2 root     IW<      0   0%   0% [kworker/1:0H-kb]
   18     2 root     SW       0   0%   0% [kdevtmpfs]
   19     2 root     IW<      0   0%   0% [netns]
   20     2 root     SW       0   0%   0% [rcu_tasks_kthre]
   22     2 root     SW       0   0%   0% [oom_reaper]
   23     2 root     IW<      0   0%   0% [writeback]
   24     2 root     SW       0   0%   0% [kcompactd0]
   26     2 root     SWN      0   0%   0% [ksmd]
   27     2 root     SWN      0   0%   0% [khugepaged]
   36     2 root     IW<      0   0%   0% [cryptd]
   58     2 root     IW<      0   0%   0% [kintegrityd]
   59     2 root     IW<      0   0%   0% [kblockd]
   60     2 root     IW<      0   0%   0% [blkcg_punt_bio]
   61     2 root     IW<      0   0%   0% [tpm_dev_wq]
   62     2 root     IW<      0   0%   0% [edac-poller]
   63     2 root     IW<      0   0%   0% [devfreq_wq]
   64     2 root     SW       0   0%   0% [watchdogd]
   66     2 root     IW<      0   0%   0% [rpciod]
   67     2 root     IW<      0   0%   0% [kworker/u5:0]
   68     2 root     IW<      0   0%   0% [xprtiod]
   99     2 root     IW<      0   0%   0% [nfsiod]
  101     2 root     IW<      0   0%   0% [kpcitest]
  102     2 root     IW<      0   0%   0% [kpcintb]
  103     2 root     IW<      0   0%   0% [vfio-irqfd-clea]
  105     2 root     IW       0   0%   0% [kworker/1:3-pm]
  106     2 root     SW       0   0%   0% [irq/9-arm-smmu-]
  107     2 root     SW       0   0%   0% [scsi_eh_0]
  108     2 root     IW<      0   0%   0% [scsi_tmf_0]
  109     2 root     SW       0   0%   0% [ptp0]
  110     2 root     SW       0   0%   0% [irq/191-310d000]
  111     2 root     IW<      0   0%   0% [sdhci]
  112     2 root     SW       0   0%   0% [irq/15-mmc0]
  114     2 root     IW<      0   0%   0% [sdhci]
  115     2 root     SW       0   0%   0% [irq/16-mmc1]
  116     2 root     IW<      0   0%   0% [mmc_complete]
  122     2 root     SW       0   0%   0% [jbd2/mmcblk0p5-]
  123     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  259     2 root     IW       0   0%   0% [kworker/0:5]
  261     2 root     IW<      0   0%   0% [pvr_timer]
  263     2 root     SW       0   0%   0% [pvr_device_wdg]
  264     2 root     SW<      0   0%   0% [pvr_cacheop]
  265     2 root     IW<      0   0%   0% [pvr_fce_status]
  272     2 root     SW       0   0%   0% [irq/575-6000000]
  349     2 root     IW<      0   0%   0% [ipv6_addrconf]
  350     2 root     SW       0   0%   0% [jbd2/mmcblk0p7-]
  351     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  366     2 root     SW       0   0%   0% [jbd2/mmcblk0p8-]
  367     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  369     2 root     SW       0   0%   0% [jbd2/mmcblk0p9-]
  370     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  376     2 root     SW       0   0%   0% [jbd2/mmcblk0p10]
  377     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  380     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  382     2 root     SW       0   0%   0% [jbd2/mmcblk0p12]
  383     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  385     2 root     SW       0   0%   0% [jbd2/mmcblk0p13]
  386     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  394     2 root     SW       0   0%   0% [jbd2/mmcblk0p14]
  395     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  397     2 root     SW       0   0%   0% [jbd2/mmcblk0p15]
  398     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  400     2 root     SW       0   0%   0% [jbd2/mmcblk0p16]
  401     2 root     IW<      0   0%   0% [ext4-rsv-conver]
